"id","name","pol","n","m","directed"
76,"76","left",1490,19025,TRUE
77,"77","left",1490,19025,TRUE
78,"78","left",1490,19025,TRUE
79,"79","left",1490,19025,TRUE
80,"80","left",1490,19025,TRUE
81,"81","left",1490,19025,TRUE
82,"82","left",1490,19025,TRUE
83,"83","left",1490,19025,TRUE
84,"84","left",1490,19025,TRUE
85,"85","left",1490,19025,TRUE
86,"86","left",1490,19025,TRUE
87,"87","left",1490,19025,TRUE
88,"88","left",1490,19025,TRUE
89,"89","left",1490,19025,TRUE
90,"90","left",1490,19025,TRUE
91,"91","left",1490,19025,TRUE
92,"92","left",1490,19025,TRUE
93,"93","left",1490,19025,TRUE
94,"94","left",1490,19025,TRUE
95,"95","left",1490,19025,TRUE
96,"96","left",1490,19025,TRUE
97,"97","left",1490,19025,TRUE
98,"98","left",1490,19025,TRUE
99,"99","left",1490,19025,TRUE
100,"100","left",1490,19025,TRUE
101,"101","left",1490,19025,TRUE
102,"102","left",1490,19025,TRUE
103,"103","left",1490,19025,TRUE
104,"104","left",1490,19025,TRUE
105,"105","left",1490,19025,TRUE
106,"106","left",1490,19025,TRUE
107,"107","left",1490,19025,TRUE
108,"108","left",1490,19025,TRUE
109,"109","left",1490,19025,TRUE
110,"110","left",1490,19025,TRUE
111,"111","left",1490,19025,TRUE
112,"112","left",1490,19025,TRUE
113,"113","left",1490,19025,TRUE
114,"114","left",1490,19025,TRUE
115,"115","left",1490,19025,TRUE
116,"116","left",1490,19025,TRUE
117,"117","left",1490,19025,TRUE
118,"118","left",1490,19025,TRUE
119,"119","left",1490,19025,TRUE
120,"120","left",1490,19025,TRUE
121,"121","left",1490,19025,TRUE
122,"122","left",1490,19025,TRUE
123,"123","left",1490,19025,TRUE
124,"124","left",1490,19025,TRUE
125,"125","left",1490,19025,TRUE
126,"126","left",1490,19025,TRUE
127,"127","left",1490,19025,TRUE
128,"128","left",1490,19025,TRUE
129,"129","left",1490,19025,TRUE
130,"130","left",1490,19025,TRUE
131,"131","left",1490,19025,TRUE
132,"132","left",1490,19025,TRUE
133,"133","left",1490,19025,TRUE
134,"134","left",1490,19025,TRUE
135,"135","left",1490,19025,TRUE
136,"136","left",1490,19025,TRUE
137,"137","left",1490,19025,TRUE
138,"138","left",1490,19025,TRUE
139,"139","left",1490,19025,TRUE
140,"140","left",1490,19025,TRUE
141,"141","left",1490,19025,TRUE
142,"142","left",1490,19025,TRUE
143,"143","left",1490,19025,TRUE
144,"144","left",1490,19025,TRUE
145,"145","left",1490,19025,TRUE
146,"146","left",1490,19025,TRUE
147,"147","left",1490,19025,TRUE
148,"148","left",1490,19025,TRUE
149,"149","left",1490,19025,TRUE
150,"150","left",1490,19025,TRUE
151,"151","left",1490,19025,TRUE
152,"152","left",1490,19025,TRUE
153,"153","left",1490,19025,TRUE
154,"154","left",1490,19025,TRUE
155,"155","left",1490,19025,TRUE
156,"156","left",1490,19025,TRUE
157,"157","left",1490,19025,TRUE
158,"158","left",1490,19025,TRUE
159,"159","left",1490,19025,TRUE
160,"160","left",1490,19025,TRUE
161,"161","left",1490,19025,TRUE
162,"162","left",1490,19025,TRUE
163,"163","left",1490,19025,TRUE
164,"164","left",1490,19025,TRUE
165,"165","left",1490,19025,TRUE
166,"166","left",1490,19025,TRUE
167,"167","left",1490,19025,TRUE
168,"168","left",1490,19025,TRUE
169,"169","left",1490,19025,TRUE
170,"170","left",1490,19025,TRUE
171,"171","left",1490,19025,TRUE
172,"172","left",1490,19025,TRUE
173,"173","left",1490,19025,TRUE
174,"174","left",1490,19025,TRUE
175,"175","left",1490,19025,TRUE
176,"176","left",1490,19025,TRUE
177,"177","left",1490,19025,TRUE
178,"178","left",1490,19025,TRUE
179,"179","left",1490,19025,TRUE
180,"180","left",1490,19025,TRUE
181,"181","left",1490,19025,TRUE
182,"182","left",1490,19025,TRUE
183,"183","left",1490,19025,TRUE
184,"184","left",1490,19025,TRUE
185,"185","left",1490,19025,TRUE
186,"186","left",1490,19025,TRUE
187,"187","left",1490,19025,TRUE
188,"188","left",1490,19025,TRUE
189,"189","left",1490,19025,TRUE
190,"190","left",1490,19025,TRUE
191,"191","left",1490,19025,TRUE
192,"192","left",1490,19025,TRUE
193,"193","left",1490,19025,TRUE
194,"194","left",1490,19025,TRUE
195,"195","left",1490,19025,TRUE
196,"196","left",1490,19025,TRUE
197,"197","left",1490,19025,TRUE
198,"198","left",1490,19025,TRUE
199,"199","left",1490,19025,TRUE
200,"200","left",1490,19025,TRUE
201,"201","left",1490,19025,TRUE
202,"202","left",1490,19025,TRUE
203,"203","left",1490,19025,TRUE
204,"204","left",1490,19025,TRUE
205,"205","left",1490,19025,TRUE
206,"206","left",1490,19025,TRUE
207,"207","left",1490,19025,TRUE
208,"208","left",1490,19025,TRUE
209,"209","left",1490,19025,TRUE
210,"210","left",1490,19025,TRUE
211,"211","left",1490,19025,TRUE
212,"212","left",1490,19025,TRUE
213,"213","left",1490,19025,TRUE
214,"214","left",1490,19025,TRUE
215,"215","left",1490,19025,TRUE
216,"216","left",1490,19025,TRUE
217,"217","left",1490,19025,TRUE
218,"218","left",1490,19025,TRUE
219,"219","left",1490,19025,TRUE
220,"220","left",1490,19025,TRUE
221,"221","left",1490,19025,TRUE
222,"222","left",1490,19025,TRUE
223,"223","left",1490,19025,TRUE
224,"224","left",1490,19025,TRUE
225,"225","left",1490,19025,TRUE
226,"226","left",1490,19025,TRUE
227,"227","left",1490,19025,TRUE
228,"228","left",1490,19025,TRUE
229,"229","left",1490,19025,TRUE
230,"230","left",1490,19025,TRUE
231,"231","left",1490,19025,TRUE
232,"232","left",1490,19025,TRUE
233,"233","left",1490,19025,TRUE
234,"234","left",1490,19025,TRUE
235,"235","left",1490,19025,TRUE
236,"236","left",1490,19025,TRUE
237,"237","left",1490,19025,TRUE
238,"238","left",1490,19025,TRUE
239,"239","left",1490,19025,TRUE
240,"240","left",1490,19025,TRUE
241,"241","left",1490,19025,TRUE
242,"242","left",1490,19025,TRUE
243,"243","left",1490,19025,TRUE
244,"244","left",1490,19025,TRUE
245,"245","left",1490,19025,TRUE
246,"246","left",1490,19025,TRUE
247,"247","left",1490,19025,TRUE
248,"248","left",1490,19025,TRUE
249,"249","left",1490,19025,TRUE
250,"250","left",1490,19025,TRUE
251,"251","left",1490,19025,TRUE
252,"252","left",1490,19025,TRUE
253,"253","left",1490,19025,TRUE
254,"254","left",1490,19025,TRUE
255,"255","left",1490,19025,TRUE
256,"256","left",1490,19025,TRUE
257,"257","left",1490,19025,TRUE
258,"258","left",1490,19025,TRUE
259,"259","left",1490,19025,TRUE
260,"260","left",1490,19025,TRUE
261,"261","left",1490,19025,TRUE
262,"262","left",1490,19025,TRUE
263,"263","left",1490,19025,TRUE
264,"264","left",1490,19025,TRUE
265,"265","left",1490,19025,TRUE
266,"266","left",1490,19025,TRUE
267,"267","left",1490,19025,TRUE
268,"268","left",1490,19025,TRUE
269,"269","left",1490,19025,TRUE
270,"270","left",1490,19025,TRUE
271,"271","left",1490,19025,TRUE
272,"272","left",1490,19025,TRUE
273,"273","left",1490,19025,TRUE
274,"274","left",1490,19025,TRUE
275,"275","left",1490,19025,TRUE
276,"276","left",1490,19025,TRUE
277,"277","left",1490,19025,TRUE
278,"278","left",1490,19025,TRUE
279,"279","left",1490,19025,TRUE
280,"280","left",1490,19025,TRUE
281,"281","left",1490,19025,TRUE
282,"282","left",1490,19025,TRUE
283,"283","left",1490,19025,TRUE
284,"284","left",1490,19025,TRUE
285,"285","left",1490,19025,TRUE
286,"286","left",1490,19025,TRUE
287,"287","left",1490,19025,TRUE
288,"288","left",1490,19025,TRUE
289,"289","left",1490,19025,TRUE
290,"290","left",1490,19025,TRUE
291,"291","left",1490,19025,TRUE
292,"292","left",1490,19025,TRUE
293,"293","left",1490,19025,TRUE
294,"294","left",1490,19025,TRUE
295,"295","left",1490,19025,TRUE
296,"296","left",1490,19025,TRUE
297,"297","left",1490,19025,TRUE
298,"298","left",1490,19025,TRUE
299,"299","left",1490,19025,TRUE
300,"300","left",1490,19025,TRUE
301,"301","left",1490,19025,TRUE
302,"302","left",1490,19025,TRUE
303,"303","left",1490,19025,TRUE
304,"304","left",1490,19025,TRUE
305,"305","left",1490,19025,TRUE
306,"306","left",1490,19025,TRUE
307,"307","left",1490,19025,TRUE
308,"308","left",1490,19025,TRUE
309,"309","left",1490,19025,TRUE
310,"310","left",1490,19025,TRUE
311,"311","left",1490,19025,TRUE
312,"312","left",1490,19025,TRUE
313,"313","left",1490,19025,TRUE
314,"314","left",1490,19025,TRUE
315,"315","left",1490,19025,TRUE
316,"316","left",1490,19025,TRUE
317,"317","left",1490,19025,TRUE
318,"318","left",1490,19025,TRUE
319,"319","left",1490,19025,TRUE
320,"320","left",1490,19025,TRUE
321,"321","left",1490,19025,TRUE
322,"322","left",1490,19025,TRUE
323,"323","left",1490,19025,TRUE
324,"324","left",1490,19025,TRUE
325,"325","left",1490,19025,TRUE
326,"326","left",1490,19025,TRUE
327,"327","left",1490,19025,TRUE
328,"328","left",1490,19025,TRUE
329,"329","left",1490,19025,TRUE
330,"330","left",1490,19025,TRUE
331,"331","left",1490,19025,TRUE
332,"332","left",1490,19025,TRUE
333,"333","left",1490,19025,TRUE
334,"334","left",1490,19025,TRUE
335,"335","left",1490,19025,TRUE
336,"336","left",1490,19025,TRUE
337,"337","left",1490,19025,TRUE
338,"338","left",1490,19025,TRUE
339,"339","left",1490,19025,TRUE
340,"340","left",1490,19025,TRUE
341,"341","left",1490,19025,TRUE
342,"342","left",1490,19025,TRUE
343,"343","left",1490,19025,TRUE
344,"344","left",1490,19025,TRUE
345,"345","left",1490,19025,TRUE
346,"346","left",1490,19025,TRUE
347,"347","left",1490,19025,TRUE
348,"348","left",1490,19025,TRUE
349,"349","left",1490,19025,TRUE
350,"350","left",1490,19025,TRUE
351,"351","left",1490,19025,TRUE
352,"352","left",1490,19025,TRUE
353,"353","left",1490,19025,TRUE
354,"354","left",1490,19025,TRUE
355,"355","left",1490,19025,TRUE
356,"356","left",1490,19025,TRUE
357,"357","left",1490,19025,TRUE
358,"358","left",1490,19025,TRUE
359,"359","left",1490,19025,TRUE
360,"360","left",1490,19025,TRUE
361,"361","left",1490,19025,TRUE
362,"362","left",1490,19025,TRUE
363,"363","left",1490,19025,TRUE
364,"364","left",1490,19025,TRUE
365,"365","left",1490,19025,TRUE
366,"366","left",1490,19025,TRUE
367,"367","left",1490,19025,TRUE
368,"368","left",1490,19025,TRUE
369,"369","left",1490,19025,TRUE
370,"370","left",1490,19025,TRUE
371,"371","left",1490,19025,TRUE
372,"372","left",1490,19025,TRUE
373,"373","left",1490,19025,TRUE
374,"374","left",1490,19025,TRUE
375,"375","left",1490,19025,TRUE
376,"376","left",1490,19025,TRUE
377,"377","left",1490,19025,TRUE
378,"378","left",1490,19025,TRUE
379,"379","left",1490,19025,TRUE
380,"380","left",1490,19025,TRUE
381,"381","left",1490,19025,TRUE
382,"382","left",1490,19025,TRUE
383,"383","left",1490,19025,TRUE
384,"384","left",1490,19025,TRUE
385,"385","left",1490,19025,TRUE
386,"386","left",1490,19025,TRUE
387,"387","left",1490,19025,TRUE
388,"388","left",1490,19025,TRUE
389,"389","left",1490,19025,TRUE
390,"390","left",1490,19025,TRUE
391,"391","left",1490,19025,TRUE
392,"392","left",1490,19025,TRUE
393,"393","left",1490,19025,TRUE
394,"394","left",1490,19025,TRUE
395,"395","left",1490,19025,TRUE
396,"396","left",1490,19025,TRUE
397,"397","left",1490,19025,TRUE
398,"398","left",1490,19025,TRUE
399,"399","left",1490,19025,TRUE
400,"400","left",1490,19025,TRUE
401,"401","left",1490,19025,TRUE
402,"402","left",1490,19025,TRUE
403,"403","left",1490,19025,TRUE
404,"404","left",1490,19025,TRUE
405,"405","left",1490,19025,TRUE
406,"406","left",1490,19025,TRUE
407,"407","left",1490,19025,TRUE
408,"408","left",1490,19025,TRUE
409,"409","left",1490,19025,TRUE
410,"410","left",1490,19025,TRUE
411,"411","left",1490,19025,TRUE
412,"412","left",1490,19025,TRUE
413,"413","left",1490,19025,TRUE
414,"414","left",1490,19025,TRUE
415,"415","left",1490,19025,TRUE
416,"416","left",1490,19025,TRUE
417,"417","left",1490,19025,TRUE
418,"418","left",1490,19025,TRUE
419,"419","left",1490,19025,TRUE
420,"420","left",1490,19025,TRUE
421,"421","left",1490,19025,TRUE
422,"422","left",1490,19025,TRUE
423,"423","left",1490,19025,TRUE
424,"424","left",1490,19025,TRUE
425,"425","left",1490,19025,TRUE
426,"426","left",1490,19025,TRUE
427,"427","left",1490,19025,TRUE
428,"428","left",1490,19025,TRUE
429,"429","left",1490,19025,TRUE
430,"430","left",1490,19025,TRUE
431,"431","left",1490,19025,TRUE
432,"432","left",1490,19025,TRUE
433,"433","left",1490,19025,TRUE
434,"434","left",1490,19025,TRUE
435,"435","left",1490,19025,TRUE
436,"436","left",1490,19025,TRUE
437,"437","left",1490,19025,TRUE
438,"438","left",1490,19025,TRUE
439,"439","left",1490,19025,TRUE
440,"440","left",1490,19025,TRUE
441,"441","left",1490,19025,TRUE
442,"442","left",1490,19025,TRUE
443,"443","left",1490,19025,TRUE
444,"444","left",1490,19025,TRUE
445,"445","left",1490,19025,TRUE
446,"446","left",1490,19025,TRUE
447,"447","left",1490,19025,TRUE
448,"448","left",1490,19025,TRUE
449,"449","left",1490,19025,TRUE
450,"450","left",1490,19025,TRUE
451,"451","left",1490,19025,TRUE
452,"452","left",1490,19025,TRUE
453,"453","left",1490,19025,TRUE
454,"454","left",1490,19025,TRUE
455,"455","left",1490,19025,TRUE
456,"456","left",1490,19025,TRUE
457,"457","left",1490,19025,TRUE
458,"458","left",1490,19025,TRUE
459,"459","left",1490,19025,TRUE
460,"460","left",1490,19025,TRUE
461,"461","left",1490,19025,TRUE
462,"462","left",1490,19025,TRUE
463,"463","left",1490,19025,TRUE
464,"464","left",1490,19025,TRUE
465,"465","left",1490,19025,TRUE
466,"466","left",1490,19025,TRUE
467,"467","left",1490,19025,TRUE
468,"468","left",1490,19025,TRUE
469,"469","left",1490,19025,TRUE
470,"470","left",1490,19025,TRUE
471,"471","left",1490,19025,TRUE
472,"472","left",1490,19025,TRUE
473,"473","left",1490,19025,TRUE
474,"474","left",1490,19025,TRUE
475,"475","left",1490,19025,TRUE
476,"476","left",1490,19025,TRUE
477,"477","left",1490,19025,TRUE
478,"478","left",1490,19025,TRUE
479,"479","left",1490,19025,TRUE
480,"480","left",1490,19025,TRUE
481,"481","left",1490,19025,TRUE
482,"482","left",1490,19025,TRUE
483,"483","left",1490,19025,TRUE
484,"484","left",1490,19025,TRUE
485,"485","left",1490,19025,TRUE
486,"486","left",1490,19025,TRUE
487,"487","left",1490,19025,TRUE
488,"488","left",1490,19025,TRUE
489,"489","left",1490,19025,TRUE
490,"490","left",1490,19025,TRUE
491,"491","left",1490,19025,TRUE
492,"492","left",1490,19025,TRUE
493,"493","left",1490,19025,TRUE
494,"494","left",1490,19025,TRUE
495,"495","left",1490,19025,TRUE
496,"496","left",1490,19025,TRUE
497,"497","left",1490,19025,TRUE
498,"498","left",1490,19025,TRUE
499,"499","left",1490,19025,TRUE
500,"500","left",1490,19025,TRUE
501,"501","left",1490,19025,TRUE
502,"502","left",1490,19025,TRUE
503,"503","left",1490,19025,TRUE
504,"504","left",1490,19025,TRUE
505,"505","left",1490,19025,TRUE
506,"506","left",1490,19025,TRUE
507,"507","left",1490,19025,TRUE
508,"508","left",1490,19025,TRUE
509,"509","left",1490,19025,TRUE
510,"510","left",1490,19025,TRUE
511,"511","left",1490,19025,TRUE
512,"512","left",1490,19025,TRUE
513,"513","left",1490,19025,TRUE
514,"514","left",1490,19025,TRUE
515,"515","left",1490,19025,TRUE
516,"516","left",1490,19025,TRUE
517,"517","left",1490,19025,TRUE
518,"518","left",1490,19025,TRUE
519,"519","left",1490,19025,TRUE
520,"520","left",1490,19025,TRUE
521,"521","left",1490,19025,TRUE
522,"522","left",1490,19025,TRUE
523,"523","left",1490,19025,TRUE
524,"524","left",1490,19025,TRUE
525,"525","left",1490,19025,TRUE
526,"526","left",1490,19025,TRUE
527,"527","left",1490,19025,TRUE
528,"528","left",1490,19025,TRUE
529,"529","left",1490,19025,TRUE
530,"530","left",1490,19025,TRUE
531,"531","left",1490,19025,TRUE
532,"532","left",1490,19025,TRUE
533,"533","left",1490,19025,TRUE
534,"534","left",1490,19025,TRUE
535,"535","left",1490,19025,TRUE
536,"536","left",1490,19025,TRUE
537,"537","left",1490,19025,TRUE
538,"538","left",1490,19025,TRUE
539,"539","left",1490,19025,TRUE
540,"540","left",1490,19025,TRUE
541,"541","left",1490,19025,TRUE
542,"542","left",1490,19025,TRUE
543,"543","left",1490,19025,TRUE
544,"544","left",1490,19025,TRUE
545,"545","left",1490,19025,TRUE
546,"546","left",1490,19025,TRUE
547,"547","left",1490,19025,TRUE
548,"548","left",1490,19025,TRUE
549,"549","left",1490,19025,TRUE
550,"550","left",1490,19025,TRUE
551,"551","left",1490,19025,TRUE
552,"552","left",1490,19025,TRUE
553,"553","left",1490,19025,TRUE
554,"554","left",1490,19025,TRUE
555,"555","left",1490,19025,TRUE
556,"556","left",1490,19025,TRUE
557,"557","left",1490,19025,TRUE
558,"558","left",1490,19025,TRUE
559,"559","left",1490,19025,TRUE
560,"560","left",1490,19025,TRUE
561,"561","left",1490,19025,TRUE
562,"562","left",1490,19025,TRUE
563,"563","left",1490,19025,TRUE
564,"564","left",1490,19025,TRUE
565,"565","left",1490,19025,TRUE
566,"566","left",1490,19025,TRUE
567,"567","left",1490,19025,TRUE
568,"568","left",1490,19025,TRUE
569,"569","left",1490,19025,TRUE
570,"570","left",1490,19025,TRUE
571,"571","left",1490,19025,TRUE
572,"572","left",1490,19025,TRUE
573,"573","left",1490,19025,TRUE
574,"574","left",1490,19025,TRUE
575,"575","left",1490,19025,TRUE
576,"576","left",1490,19025,TRUE
577,"577","left",1490,19025,TRUE
578,"578","left",1490,19025,TRUE
579,"579","left",1490,19025,TRUE
580,"580","left",1490,19025,TRUE
581,"581","left",1490,19025,TRUE
582,"582","left",1490,19025,TRUE
583,"583","left",1490,19025,TRUE
584,"584","left",1490,19025,TRUE
585,"585","left",1490,19025,TRUE
586,"586","left",1490,19025,TRUE
587,"587","left",1490,19025,TRUE
588,"588","left",1490,19025,TRUE
589,"589","left",1490,19025,TRUE
590,"590","left",1490,19025,TRUE
591,"591","left",1490,19025,TRUE
592,"592","left",1490,19025,TRUE
593,"593","left",1490,19025,TRUE
594,"594","left",1490,19025,TRUE
595,"595","left",1490,19025,TRUE
596,"596","left",1490,19025,TRUE
597,"597","left",1490,19025,TRUE
598,"598","left",1490,19025,TRUE
599,"599","left",1490,19025,TRUE
600,"600","left",1490,19025,TRUE
601,"601","left",1490,19025,TRUE
602,"602","left",1490,19025,TRUE
603,"603","left",1490,19025,TRUE
604,"604","left",1490,19025,TRUE
605,"605","left",1490,19025,TRUE
606,"606","left",1490,19025,TRUE
607,"607","left",1490,19025,TRUE
608,"608","left",1490,19025,TRUE
609,"609","left",1490,19025,TRUE
610,"610","left",1490,19025,TRUE
611,"611","left",1490,19025,TRUE
612,"612","left",1490,19025,TRUE
613,"613","left",1490,19025,TRUE
614,"614","left",1490,19025,TRUE
615,"615","left",1490,19025,TRUE
616,"616","left",1490,19025,TRUE
617,"617","left",1490,19025,TRUE
618,"618","left",1490,19025,TRUE
619,"619","left",1490,19025,TRUE
620,"620","left",1490,19025,TRUE
621,"621","left",1490,19025,TRUE
622,"622","left",1490,19025,TRUE
623,"623","left",1490,19025,TRUE
624,"624","left",1490,19025,TRUE
625,"625","left",1490,19025,TRUE
626,"626","left",1490,19025,TRUE
627,"627","left",1490,19025,TRUE
628,"628","left",1490,19025,TRUE
629,"629","left",1490,19025,TRUE
630,"630","left",1490,19025,TRUE
631,"631","left",1490,19025,TRUE
632,"632","left",1490,19025,TRUE
633,"633","left",1490,19025,TRUE
634,"634","left",1490,19025,TRUE
635,"635","left",1490,19025,TRUE
636,"636","left",1490,19025,TRUE
637,"637","left",1490,19025,TRUE
638,"638","left",1490,19025,TRUE
639,"639","left",1490,19025,TRUE
640,"640","left",1490,19025,TRUE
641,"641","left",1490,19025,TRUE
642,"642","left",1490,19025,TRUE
643,"643","left",1490,19025,TRUE
644,"644","left",1490,19025,TRUE
645,"645","left",1490,19025,TRUE
646,"646","left",1490,19025,TRUE
647,"647","left",1490,19025,TRUE
648,"648","left",1490,19025,TRUE
649,"649","left",1490,19025,TRUE
650,"650","left",1490,19025,TRUE
651,"651","left",1490,19025,TRUE
652,"652","left",1490,19025,TRUE
653,"653","left",1490,19025,TRUE
654,"654","left",1490,19025,TRUE
655,"655","left",1490,19025,TRUE
656,"656","left",1490,19025,TRUE
657,"657","left",1490,19025,TRUE
658,"658","left",1490,19025,TRUE
659,"659","left",1490,19025,TRUE
660,"660","left",1490,19025,TRUE
661,"661","left",1490,19025,TRUE
662,"662","left",1490,19025,TRUE
663,"663","left",1490,19025,TRUE
664,"664","left",1490,19025,TRUE
665,"665","left",1490,19025,TRUE
666,"666","left",1490,19025,TRUE
667,"667","left",1490,19025,TRUE
668,"668","left",1490,19025,TRUE
669,"669","left",1490,19025,TRUE
670,"670","left",1490,19025,TRUE
671,"671","left",1490,19025,TRUE
672,"672","left",1490,19025,TRUE
673,"673","left",1490,19025,TRUE
674,"674","left",1490,19025,TRUE
675,"675","left",1490,19025,TRUE
676,"676","left",1490,19025,TRUE
677,"677","left",1490,19025,TRUE
678,"678","left",1490,19025,TRUE
679,"679","left",1490,19025,TRUE
680,"680","left",1490,19025,TRUE
681,"681","left",1490,19025,TRUE
682,"682","left",1490,19025,TRUE
683,"683","left",1490,19025,TRUE
684,"684","left",1490,19025,TRUE
685,"685","left",1490,19025,TRUE
686,"686","left",1490,19025,TRUE
687,"687","left",1490,19025,TRUE
688,"688","left",1490,19025,TRUE
689,"689","left",1490,19025,TRUE
690,"690","left",1490,19025,TRUE
691,"691","left",1490,19025,TRUE
692,"692","left",1490,19025,TRUE
693,"693","left",1490,19025,TRUE
694,"694","left",1490,19025,TRUE
695,"695","left",1490,19025,TRUE
696,"696","left",1490,19025,TRUE
697,"697","left",1490,19025,TRUE
698,"698","left",1490,19025,TRUE
699,"699","left",1490,19025,TRUE
700,"700","left",1490,19025,TRUE
701,"701","left",1490,19025,TRUE
702,"702","left",1490,19025,TRUE
703,"703","left",1490,19025,TRUE
704,"704","left",1490,19025,TRUE
705,"705","left",1490,19025,TRUE
706,"706","left",1490,19025,TRUE
707,"707","left",1490,19025,TRUE
708,"708","left",1490,19025,TRUE
709,"709","left",1490,19025,TRUE
710,"710","left",1490,19025,TRUE
711,"711","left",1490,19025,TRUE
712,"712","left",1490,19025,TRUE
713,"713","left",1490,19025,TRUE
714,"714","left",1490,19025,TRUE
715,"715","left",1490,19025,TRUE
716,"716","left",1490,19025,TRUE
717,"717","left",1490,19025,TRUE
718,"718","left",1490,19025,TRUE
719,"719","left",1490,19025,TRUE
720,"720","left",1490,19025,TRUE
721,"721","left",1490,19025,TRUE
722,"722","left",1490,19025,TRUE
723,"723","left",1490,19025,TRUE
724,"724","left",1490,19025,TRUE
725,"725","left",1490,19025,TRUE
726,"726","left",1490,19025,TRUE
727,"727","left",1490,19025,TRUE
728,"728","left",1490,19025,TRUE
729,"729","left",1490,19025,TRUE
730,"730","left",1490,19025,TRUE
731,"731","left",1490,19025,TRUE
732,"732","left",1490,19025,TRUE
733,"733","left",1490,19025,TRUE
734,"734","left",1490,19025,TRUE
735,"735","left",1490,19025,TRUE
736,"736","left",1490,19025,TRUE
737,"737","left",1490,19025,TRUE
738,"738","left",1490,19025,TRUE
739,"739","left",1490,19025,TRUE
740,"740","left",1490,19025,TRUE
741,"741","left",1490,19025,TRUE
742,"742","left",1490,19025,TRUE
743,"743","left",1490,19025,TRUE
744,"744","left",1490,19025,TRUE
745,"745","left",1490,19025,TRUE
746,"746","left",1490,19025,TRUE
747,"747","left",1490,19025,TRUE
748,"748","left",1490,19025,TRUE
749,"749","left",1490,19025,TRUE
750,"750","left",1490,19025,TRUE
751,"751","left",1490,19025,TRUE
752,"752","left",1490,19025,TRUE
753,"753","left",1490,19025,TRUE
754,"754","left",1490,19025,TRUE
755,"755","left",1490,19025,TRUE
756,"756","left",1490,19025,TRUE
757,"757","left",1490,19025,TRUE
758,"758","left",1490,19025,TRUE
759,"759","right",1490,19025,TRUE
760,"760","right",1490,19025,TRUE
761,"761","right",1490,19025,TRUE
762,"762","right",1490,19025,TRUE
763,"763","right",1490,19025,TRUE
764,"764","right",1490,19025,TRUE
765,"765","right",1490,19025,TRUE
766,"766","right",1490,19025,TRUE
767,"767","right",1490,19025,TRUE
768,"768","right",1490,19025,TRUE
769,"769","right",1490,19025,TRUE
770,"770","right",1490,19025,TRUE
771,"771","right",1490,19025,TRUE
772,"772","right",1490,19025,TRUE
773,"773","right",1490,19025,TRUE
774,"774","right",1490,19025,TRUE
775,"775","right",1490,19025,TRUE
776,"776","right",1490,19025,TRUE
