"id","name","city","state","country","latitude","longitude","n","m","directed"
128,"128","Idaho Falls","ID","USA",43.51455556,-112.0701667,276,2682,FALSE
129,"129","Wilmington","NC","USA",34.27061111,-77.90255556,276,2682,FALSE
130,"130","Indianapolis","IN","USA",39.71732917,-86.29438417,276,2682,FALSE
131,"131","International Falls","MN","USA",48.56618722,-93.40306667,276,2682,FALSE
132,"132","Imperial","CA","USA",32.83422028,-115.5787456,276,2682,FALSE
133,"133","Islip","NY","USA",40.7952425,-73.10021194,276,2682,FALSE
134,"134","Ithaca","NY","USA",42.49102778,-76.45844444,276,2682,FALSE
135,"135","Inyokern","CA","USA",35.65884306,-117.8295122,276,2682,FALSE
136,"136","Jackson","WY","USA",43.60732417,-110.7377389,276,2682,FALSE
137,"137","Jackson","MS","USA",32.31116667,-90.07588889,276,2682,FALSE
138,"138","Jacksonville","FL","USA",30.49405556,-81.68786111,276,2682,FALSE
139,"139","New York","NY","USA",40.63975111,-73.77892556,276,2682,FALSE
140,"140","Lansing","MI","USA",42.7787,-84.58735806,276,2682,FALSE
141,"141","Las Vegas","NV","USA",36.08036111,-115.1523333,276,2682,FALSE
142,"142","Lawton","OK","USA",34.56771444,-98.41663667,276,2682,FALSE
143,"143","Los Angeles","CA","USA",33.94253611,-118.4080744,276,2682,FALSE
144,"144","Lubbock","TX","USA",33.66363889,-101.8227778,276,2682,FALSE
145,"145","Lake Charles","LA","USA",30.1260975,-93.22340361,276,2682,FALSE
146,"146","Lexington","KY","USA",38.03697222,-84.60538889,276,2682,FALSE
147,"147","Lafayette","LA","USA",30.20527972,-91.987655,276,2682,FALSE
148,"148","New York","NY","USA",40.77724306,-73.87260917,276,2682,FALSE
149,"149","Long Beach","CA","USA",33.81772222,-118.1516111,276,2682,FALSE
150,"150","Little Rock","AR","USA",34.72939611,-92.22424556,276,2682,FALSE
151,"151","Klamath Falls","OR","USA",42.15614361,-121.7332081,276,2682,FALSE
152,"152","Lincoln","NE","USA",40.85097222,-96.75925,276,2682,FALSE
153,"153","Laredo","TX","USA",27.54373861,-99.46154361,276,2682,FALSE
154,"154","La Crosse","WI","USA",43.87937972,-91.25653778,276,2682,FALSE
155,"155","Lewisburg","WV","USA",37.85830556,-80.39947222,276,2682,FALSE
156,"156","Lewiston","ID","USA",46.37449806,-117.0153944,276,2682,FALSE
157,"157","Lynchburg","VA","USA",37.32668528,-79.20043056,276,2682,FALSE
158,"158","Midland","TX","USA",31.94252778,-102.2019139,276,2682,FALSE
159,"159","Saginaw","MI","USA",43.53291472,-84.07964722,276,2682,FALSE
160,"160","Kansas City","MO","USA",39.29760528,-94.71390556,276,2682,FALSE
161,"161","Macon","GA","USA",32.69284944,-83.64921083,276,2682,FALSE
162,"162","Orlando","FL","USA",28.42888889,-81.31602778,276,2682,FALSE
163,"163","Harrisburg","PA","USA",40.19349528,-76.76340361,276,2682,FALSE
164,"164","Chicago","IL","USA",41.7859825,-87.75242444,276,2682,FALSE
165,"165","Meridian","MS","USA",32.33313333,-88.75120556,276,2682,FALSE
166,"166","Memphis","TN","USA",35.04241667,-89.97666667,276,2682,FALSE
167,"167","McAllen","TX","USA",26.17583333,-98.23861111,276,2682,FALSE
168,"168","Medford","OR","USA",42.37422778,-122.8734978,276,2682,FALSE
169,"169","Montgomery","AL","USA",32.30064417,-86.39397611,276,2682,FALSE
170,"170","Manchester","NH","USA",42.93451639,-71.43705583,276,2682,FALSE
171,"171","Miami","FL","USA",25.79325,-80.29055556,276,2682,FALSE
172,"172","Milwaukee","WI","USA",42.94722222,-87.89658333,276,2682,FALSE
173,"173","Muskegon","MI","USA",43.16948806,-86.23822306,276,2682,FALSE
174,"174","Melbourne","FL","USA",28.10275,-80.64580556,276,2682,FALSE
175,"175","Moline","IL","USA",41.44852639,-90.50753917,276,2682,FALSE
176,"176","Monroe","LA","USA",32.51086556,-92.03768778,276,2682,FALSE
177,"177","Mobile","AL","USA",30.69141667,-88.24283333,276,2682,FALSE
178,"178","Modesto","CA","USA",37.62581722,-120.9544214,276,2682,FALSE
179,"179","Minot","ND","USA",48.25937778,-101.2803339,276,2682,FALSE
180,"180",NA,NA,"USA",46.353639,-87.395361,276,2682,FALSE
181,"181","Monterey","CA","USA",36.5869825,-121.8429478,276,2682,FALSE
182,"182","Madison","WI","USA",43.13985778,-89.33751361,276,2682,FALSE
183,"183","Missoula","MT","USA",46.91630556,-114.0905556,276,2682,FALSE
184,"184","Minneapolis","MN","USA",44.88054694,-93.2169225,276,2682,FALSE
185,"185","New Orleans","LA","USA",29.99338889,-90.25802778,276,2682,FALSE
186,"186","Montrose","CO","USA",38.50886722,-107.8938333,276,2682,FALSE
187,"187","Myrtle Beach","SC","USA",33.67975,-78.92833333,276,2682,FALSE
188,"188","Jacksonville","NC","USA",34.82916444,-77.61213778,276,2682,FALSE
189,"189","Oakland","CA","USA",37.72129083,-122.2207167,276,2682,FALSE
190,"190","Ogden","UT","USA",41.19594417,-112.012175,276,2682,FALSE
191,"191","Oklahoma City","OK","USA",35.39308833,-97.60073389,276,2682,FALSE
192,"192","Omaha","NE","USA",41.30251861,-95.89417306,276,2682,FALSE
193,"193","Ontario","CA","USA",34.056,-117.6011944,276,2682,FALSE
194,"194","Chicago","IL","USA",41.979595,-87.90446417,276,2682,FALSE
195,"195","Norfolk","VA","USA",36.89461111,-76.20122222,276,2682,FALSE
196,"196","North Bend","OR","USA",43.41713889,-124.2460278,276,2682,FALSE
197,"197","Oxnard","CA","USA",34.20080083,-119.2072164,276,2682,FALSE
198,"198","West Palm Beach","FL","USA",26.68316194,-80.09559417,276,2682,FALSE
199,"199","Portland","OR","USA",45.58872222,-122.5975,276,2682,FALSE
200,"200","Panama City","FL","USA",30.21208333,-85.68280556,276,2682,FALSE
201,"201","Newport News","VA","USA",37.13189556,-76.4929875,276,2682,FALSE
202,"202","Philadelphia","PA","USA",39.87195278,-75.24114083,276,2682,FALSE
203,"203","Phoenix","AZ","USA",33.43416667,-112.0080556,276,2682,FALSE
204,"204","Peoria","IL","USA",40.66424333,-89.69330556,276,2682,FALSE
205,"205","Pocatello","ID","USA",42.91130556,-112.5958611,276,2682,FALSE
206,"206","Pierre","SD","USA",44.38267694,-100.285965,276,2682,FALSE
207,"207","Pittsburgh","PA","USA",40.49146583,-80.23287083,276,2682,FALSE
208,"208","Pellston","MI","USA",45.5709275,-84.796715,276,2682,FALSE
209,"209","Palmdale","CA","USA",34.62938889,-118.0845528,276,2682,FALSE
210,"210","Pensacola","FL","USA",30.47330556,-87.18744444,276,2682,FALSE
211,"211","Pasco","WA","USA",46.26468028,-119.1190292,276,2682,FALSE
212,"212","Palm Springs","CA","USA",33.82921556,-116.5062531,276,2682,FALSE
213,"213","Pueblo","CO","USA",38.28908722,-104.4965722,276,2682,FALSE
214,"214","Providence","RI","USA",41.72399917,-71.42822111,276,2682,FALSE
215,"215","Portland","ME","USA",43.64616667,-70.30875,276,2682,FALSE
216,"216","Rapid City","SD","USA",44.04532139,-103.0573708,276,2682,FALSE
217,"217","Redding","CA","USA",40.50898361,-122.2934019,276,2682,FALSE
218,"218","Redmond","OR","USA",44.25406722,-121.1499633,276,2682,FALSE
219,"219","Raleigh","NC","USA",35.87763889,-78.78747222,276,2682,FALSE
220,"220","Rockford","IL","USA",42.19536389,-89.09721111,276,2682,FALSE
221,"221","Rhinelander","WI","USA",45.63119306,-89.46745361,276,2682,FALSE
222,"222","Richmond","VA","USA",37.50516667,-77.31966667,276,2682,FALSE
223,"223","Rock Springs","WY","USA",41.5942175,-109.0651928,276,2682,FALSE
224,"224","Reno","NV","USA",39.49857611,-119.7680647,276,2682,FALSE
225,"225","Roanoke","VA","USA",37.32546833,-79.97542833,276,2682,FALSE
226,"226","Rochester","NY","USA",43.11886611,-77.67238389,276,2682,FALSE
227,"227","Roswell","NM","USA",33.30155556,-104.5305556,276,2682,FALSE
228,"228","Rochester","MN","USA",43.90882639,-92.49798722,276,2682,FALSE
229,"229","Ft. Myers","FL","USA",26.53616667,-81.75516667,276,2682,FALSE
230,"230","San Diego","CA","USA",32.73355611,-117.1896567,276,2682,FALSE
231,"231","San Antonio","TX","USA",29.53369444,-98.46977778,276,2682,FALSE
232,"232","Savannah","GA","USA",32.12758333,-81.20213889,276,2682,FALSE
233,"233","Santa Barbara","CA","USA",34.42621194,-119.8403733,276,2682,FALSE
234,"234","South Bend","IN","USA",41.70895361,-86.31847417,276,2682,FALSE
235,"235","San Luis Obispo","CA","USA",35.23705806,-120.6423931,276,2682,FALSE
236,"236",NA,NA,"USA",40.851206,-77.846302,276,2682,FALSE
237,"237","Louisville","KY","USA",38.17438889,-85.736,276,2682,FALSE
238,"238","Seattle","WA","USA",47.44898194,-122.3093131,276,2682,FALSE
239,"239","San Francisco","CA","USA",37.61900194,-122.3748433,276,2682,FALSE
240,"240","Springfield","MO","USA",37.24432611,-93.38685806,276,2682,FALSE
241,"241","St George","UT","USA",37.09058333,-113.5930556,276,2682,FALSE
242,"242","Shreveport","LA","USA",32.4466275,-93.82559833,276,2682,FALSE
243,"243","San Jose","CA","USA",37.36186194,-121.9290089,276,2682,FALSE
244,"244","San Angelo","TX","USA",31.35775,-100.4963056,276,2682,FALSE
245,"245","Salt Lake City","UT","USA",40.78838778,-111.9777731,276,2682,FALSE
246,"246","Salem","OR","USA",44.90952778,-123.0025,276,2682,FALSE
247,"247","Sacramento","CA","USA",38.69542167,-121.5907669,276,2682,FALSE
248,"248","Santa Maria","CA","USA",34.89924833,-120.4575825,276,2682,FALSE
249,"249","Santa Ana","CA","USA",33.67565861,-117.8682225,276,2682,FALSE
250,"250","Springfield","IL","USA",39.84395194,-89.67761861,276,2682,FALSE
251,"251","Wichita Falls","TX","USA",33.98879611,-98.49189333,276,2682,FALSE
252,"252","Sarasota","FL","USA",27.39533333,-82.55411111,276,2682,FALSE
253,"253","St Louis","MO","USA",38.74768694,-90.35998972,276,2682,FALSE
254,"254","Hailey","ID","USA",43.50484139,-114.2965903,276,2682,FALSE
255,"255","Sioux City","IA","USA",42.40260333,-96.38436694,276,2682,FALSE
256,"256","Newburgh","NY","USA",41.50409361,-74.10483833,276,2682,FALSE
257,"257","Syracuse","NY","USA",43.11118694,-76.10631056,276,2682,FALSE
258,"258","Telluride","CO","USA",37.95375861,-107.90848,276,2682,FALSE
259,"259","Tallahassee","FL","USA",30.39652778,-84.35033333,276,2682,FALSE
260,"260","Toledo","OH","USA",41.58680556,-83.80783333,276,2682,FALSE
261,"261","Tampa","FL","USA",27.97547222,-82.53325,276,2682,FALSE
262,"262","Bristol","TN","USA",36.47521417,-82.40742056,276,2682,FALSE
263,"263","Tulsa","OK","USA",36.19837222,-95.88824167,276,2682,FALSE
264,"264","Tupelo","MS","USA",34.26810833,-88.769895,276,2682,FALSE
265,"265","Tucson","AZ","USA",32.11608333,-110.9410278,276,2682,FALSE
266,"266","Traverse City","MI","USA",44.74144472,-85.582235,276,2682,FALSE
267,"267","Twin Falls","ID","USA",42.48180389,-114.4877356,276,2682,FALSE
268,"268","Texarkana","AR","USA",33.45370806,-93.99102,276,2682,FALSE
269,"269","Tyler","TX","USA",32.35413889,-95.40238611,276,2682,FALSE
270,"270","Knoxville","TN","USA",35.81248722,-83.99285583,276,2682,FALSE
271,"271","Valdosta","GA","USA",30.7825,-83.27672222,276,2682,FALSE
272,"272","Valparaiso","FL","USA",30.48325,-86.5254,276,2682,FALSE
273,"273","West Yellowstone","MT","USA",44.68839917,-111.1176375,276,2682,FALSE
274,"274","Fayetteville/Springdale/Rogers","AR","USA",36.28186944,-94.30681111,276,2682,FALSE
275,"275","Yakima","WA","USA",46.56816972,-120.5440594,276,2682,FALSE
276,"276","Yuma","AZ","USA",32.65658333,-114.6059722,276,2682,FALSE
