"from","to"
"Arcata","Sacramento International"
"Atlantic City International","William B Hartsfield-Atlanta Intl"
"Atlantic City International","John F Kennedy Intl"
"Atlantic City International","LaGuardia"
"Alexandria International","William B Hartsfield-Atlanta Intl"
"Alexandria International","Dallas-Fort Worth International"
"Alexandria International","George Bush Intercontinental"
"Bush","William B Hartsfield-Atlanta Intl"
"Bush","Charlotte/Douglas International"
"Bush","George Bush Intercontinental"
"Bush","LaGuardia"
"Albany Cty","William B Hartsfield-Atlanta Intl"
"Albany Cty","Gen Edw L Logan Intl"
"Albany Cty","Baltimore-Washington International"
"Albany Cty","Cleveland-Hopkins Intl"
"Albany Cty","Charlotte/Douglas International"
"Albany Cty","Cincinnati Northern Kentucky Intl"
"Albany Cty","Ronald Reagan Washington National"
"Albany Cty","Detroit Metropolitan-Wayne County"
"Albany Cty","Newark Intl"
"Albany Cty","Fort Lauderdale-Hollywood Int'l"
"Albany Cty","John F Kennedy Intl"
"Albany Cty","McCarran International"
"Albany Cty","Orlando International"
"Albany Cty","Chicago Midway"
"Albany Cty","Minneapolis-St Paul Intl"
"Albany Cty","Chicago O'Hare International"
"Albany Cty","Philadelphia Intl"
"Albany Cty","South Bend Regional"
"Albany Cty","Tampa International"
"Waterloo Municipal","Minneapolis-St Paul Intl"
"Amarillo International","Dallas Love"
"Amarillo International","Denver Intl"
"Amarillo International","Dallas-Fort Worth International"
"Amarillo International","George Bush Intercontinental"
"Amarillo International","McCarran International"
"Amarillo International","San Antonio International"
"Amarillo International","Tulsa International"
"Aspen-Pitkin Co/Sardy","William B Hartsfield-Atlanta Intl"
"Aspen-Pitkin Co/Sardy","Denver Intl"
"Aspen-Pitkin Co/Sardy","Walker"
"Aspen-Pitkin Co/Sardy","Los Angeles International"
"Aspen-Pitkin Co/Sardy","Dane County Regional"
"Aspen-Pitkin Co/Sardy","Chicago O'Hare International"
"Aspen-Pitkin Co/Sardy","Phoenix Sky Harbor International"
"Aspen-Pitkin Co/Sardy","Greater Rockford"
"Aspen-Pitkin Co/Sardy","San Francisco International"
"Aspen-Pitkin Co/Sardy","Salt Lake City Intl"
"Aspen-Pitkin Co/Sardy","Tulsa International"
"William B Hartsfield-Atlanta Intl","Outagamie County Regional"
"William B Hartsfield-Atlanta Intl","Austin-Bergstrom International"
"William B Hartsfield-Atlanta Intl","Asheville Regional"
"William B Hartsfield-Atlanta Intl","Wilkes-Barre/Scranton Intl"
"William B Hartsfield-Atlanta Intl","Bradley International"
"William B Hartsfield-Atlanta Intl","Bangor International"
"William B Hartsfield-Atlanta Intl","Birmingham International"
"William B Hartsfield-Atlanta Intl","Central Illinois Regional"
"William B Hartsfield-Atlanta Intl","Nashville International"
"William B Hartsfield-Atlanta Intl","Boise Air Terminal"
"William B Hartsfield-Atlanta Intl","Gen Edw L Logan Intl"
"William B Hartsfield-Atlanta Intl","Glynco Jetport"
"William B Hartsfield-Atlanta Intl","Baton Rouge Metropolitan, Ryan"
"William B Hartsfield-Atlanta Intl","Burlington International"
"William B Hartsfield-Atlanta Intl","Buffalo Niagara Intl"
"William B Hartsfield-Atlanta Intl","Baltimore-Washington International"
"William B Hartsfield-Atlanta Intl","Gallatin"
"William B Hartsfield-Atlanta Intl","Columbia Metropolitan"
"William B Hartsfield-Atlanta Intl","Akron-Canton Regional"
"William B Hartsfield-Atlanta Intl","Lovell"
"William B Hartsfield-Atlanta Intl","Charlottesville-Albermarle"
"William B Hartsfield-Atlanta Intl","Charleston AFB/International"
"William B Hartsfield-Atlanta Intl","Eastern Iowa"
"William B Hartsfield-Atlanta Intl","Cleveland-Hopkins Intl"
"William B Hartsfield-Atlanta Intl","Charlotte/Douglas International"
"William B Hartsfield-Atlanta Intl","Port Columbus Intl"
"William B Hartsfield-Atlanta Intl","City of Colorado Springs Muni"
"William B Hartsfield-Atlanta Intl","Corpus Christi International"
"William B Hartsfield-Atlanta Intl","Yeager"
"William B Hartsfield-Atlanta Intl","Columbus Metropolitan"
"William B Hartsfield-Atlanta Intl","Cincinnati Northern Kentucky Intl"
"William B Hartsfield-Atlanta Intl","Daytona Beach International"
"William B Hartsfield-Atlanta Intl","James M Cox Dayton Intl"
"William B Hartsfield-Atlanta Intl","Ronald Reagan Washington National"
"William B Hartsfield-Atlanta Intl","Denver Intl"
"William B Hartsfield-Atlanta Intl","Dallas-Fort Worth International"
"William B Hartsfield-Atlanta Intl","Dothan"
"William B Hartsfield-Atlanta Intl","Des Moines International"
"William B Hartsfield-Atlanta Intl","Detroit Metropolitan-Wayne County"
"William B Hartsfield-Atlanta Intl","Eagle County Regional"
"William B Hartsfield-Atlanta Intl","El Paso International"
"William B Hartsfield-Atlanta Intl","Evansville Regional"
"William B Hartsfield-Atlanta Intl","Craven County Regional"
"William B Hartsfield-Atlanta Intl","Newark Intl"
"William B Hartsfield-Atlanta Intl","Key West International"
"William B Hartsfield-Atlanta Intl","Fayetteville Municipal"
"William B Hartsfield-Atlanta Intl","Glacier Park Intl"
"William B Hartsfield-Atlanta Intl","Fort Lauderdale-Hollywood Int'l"
"William B Hartsfield-Atlanta Intl","Florence Regional"
"William B Hartsfield-Atlanta Intl","Bishop"
"William B Hartsfield-Atlanta Intl","Joe Foss"
"William B Hartsfield-Atlanta Intl","Fort Smith Regional"
"William B Hartsfield-Atlanta Intl","Fort Wayne International"
"William B Hartsfield-Atlanta Intl","Gainesville Regional"
"William B Hartsfield-Atlanta Intl","Gulfport-Biloxi Regional"
"William B Hartsfield-Atlanta Intl","Austin Straubel International"
"William B Hartsfield-Atlanta Intl","Robert Gray AAF"
"William B Hartsfield-Atlanta Intl","Kent County International"
"William B Hartsfield-Atlanta Intl","Piedmont Triad International"
"William B Hartsfield-Atlanta Intl","Greenville-Spartanburg"
"William B Hartsfield-Atlanta Intl","Golden Triangle Regional"
"William B Hartsfield-Atlanta Intl","Gunnison County"
"William B Hartsfield-Atlanta Intl","Yampa Valley"
"William B Hartsfield-Atlanta Intl","Hilton Head"
"William B Hartsfield-Atlanta Intl","William P Hobby"
"William B Hartsfield-Atlanta Intl","Westchester Cty"
"William B Hartsfield-Atlanta Intl","Huntsville International"
"William B Hartsfield-Atlanta Intl","Washington Dulles International"
"William B Hartsfield-Atlanta Intl","George Bush Intercontinental"
"William B Hartsfield-Atlanta Intl","Wichita Mid-Continent"
"William B Hartsfield-Atlanta Intl","Wilmington International"
"William B Hartsfield-Atlanta Intl","Indianapolis International"
"William B Hartsfield-Atlanta Intl","Long Island - MacArthur"
"William B Hartsfield-Atlanta Intl","Jackson Hole"
"William B Hartsfield-Atlanta Intl","Jackson International"
"William B Hartsfield-Atlanta Intl","Jacksonville International"
"William B Hartsfield-Atlanta Intl","John F Kennedy Intl"
"William B Hartsfield-Atlanta Intl","McCarran International"
"William B Hartsfield-Atlanta Intl","Lawton-Ft Sill Regional"
"William B Hartsfield-Atlanta Intl","Los Angeles International"
"William B Hartsfield-Atlanta Intl","Blue Grass"
"William B Hartsfield-Atlanta Intl","Lafayette Regional"
"William B Hartsfield-Atlanta Intl","LaGuardia"
"William B Hartsfield-Atlanta Intl","Adams"
"William B Hartsfield-Atlanta Intl","Greenbrier Valley"
"William B Hartsfield-Atlanta Intl","Lynchburg Municipal-Preston Glenn"
"William B Hartsfield-Atlanta Intl","Kansas City International"
"William B Hartsfield-Atlanta Intl","Middle Georgia Regional"
"William B Hartsfield-Atlanta Intl","Orlando International"
"William B Hartsfield-Atlanta Intl","Harrisburg Intl"
"William B Hartsfield-Atlanta Intl","Chicago Midway"
"William B Hartsfield-Atlanta Intl","Key"
"William B Hartsfield-Atlanta Intl","Memphis International"
"William B Hartsfield-Atlanta Intl","McAllen Miller International"
"William B Hartsfield-Atlanta Intl","Montgomery Regional Apt"
"William B Hartsfield-Atlanta Intl","Manchester"
"William B Hartsfield-Atlanta Intl","Miami International"
"William B Hartsfield-Atlanta Intl","General Mitchell International"
"William B Hartsfield-Atlanta Intl","Melbourne International"
"William B Hartsfield-Atlanta Intl","Quad City"
"William B Hartsfield-Atlanta Intl","Monroe Regional"
"William B Hartsfield-Atlanta Intl","Mobile Regional"
"William B Hartsfield-Atlanta Intl","Dane County Regional"
"William B Hartsfield-Atlanta Intl","Minneapolis-St Paul Intl"
"William B Hartsfield-Atlanta Intl","New Orleans International"
"William B Hartsfield-Atlanta Intl","Montrose Regional"
"William B Hartsfield-Atlanta Intl","Myrtle Beach International"
"William B Hartsfield-Atlanta Intl","Albert J Ellis"
"William B Hartsfield-Atlanta Intl","Metropolitan Oakland International"
"William B Hartsfield-Atlanta Intl","Will Rogers World"
"William B Hartsfield-Atlanta Intl","Eppley Airfield"
"William B Hartsfield-Atlanta Intl","Ontario International"
"William B Hartsfield-Atlanta Intl","Chicago O'Hare International"
"William B Hartsfield-Atlanta Intl","Norfolk International"
"William B Hartsfield-Atlanta Intl","Palm Beach International"
"William B Hartsfield-Atlanta Intl","Portland Intl"
"William B Hartsfield-Atlanta Intl","Panama City-Bay County International"
"William B Hartsfield-Atlanta Intl","Newport News/Williamsburg International"
"William B Hartsfield-Atlanta Intl","Philadelphia Intl"
"William B Hartsfield-Atlanta Intl","Phoenix Sky Harbor International"
"William B Hartsfield-Atlanta Intl","Greater Peoria Regional"
"William B Hartsfield-Atlanta Intl","Pittsburgh International"
"William B Hartsfield-Atlanta Intl","Pensacola Regional"
"William B Hartsfield-Atlanta Intl","Theodore F Green State"
"William B Hartsfield-Atlanta Intl","Portland International Jetport"
"William B Hartsfield-Atlanta Intl","Raleigh-Durham International"
"William B Hartsfield-Atlanta Intl","Richmond International"
"William B Hartsfield-Atlanta Intl","Reno/Tahoe International"
"William B Hartsfield-Atlanta Intl","Roanoke Regional/ Woodrum"
"William B Hartsfield-Atlanta Intl","Greater Rochester Int'l"
"William B Hartsfield-Atlanta Intl","Southwest Florida International"
"William B Hartsfield-Atlanta Intl","San Diego International-Lindbergh"
"William B Hartsfield-Atlanta Intl","San Antonio International"
"William B Hartsfield-Atlanta Intl","Savannah International"
"William B Hartsfield-Atlanta Intl","South Bend Regional"
"William B Hartsfield-Atlanta Intl","University Park"
"William B Hartsfield-Atlanta Intl","Louisville International-Standiford"
"William B Hartsfield-Atlanta Intl","Seattle-Tacoma Intl"
"William B Hartsfield-Atlanta Intl","San Francisco International"
"William B Hartsfield-Atlanta Intl","Springfield-Branson Regional"
"William B Hartsfield-Atlanta Intl","Shreveport Regional"
"William B Hartsfield-Atlanta Intl","San Jose International"
"William B Hartsfield-Atlanta Intl","Salt Lake City Intl"
"William B Hartsfield-Atlanta Intl","Sacramento International"
"William B Hartsfield-Atlanta Intl","John Wayne /Orange Co"
"William B Hartsfield-Atlanta Intl","Sarasota Bradenton International"
"William B Hartsfield-Atlanta Intl","Lambert-St Louis International"
"William B Hartsfield-Atlanta Intl","Stewart"
"William B Hartsfield-Atlanta Intl","Syracuse-Hancock Intl"
"William B Hartsfield-Atlanta Intl","Tallahassee Regional"
"William B Hartsfield-Atlanta Intl","Toledo Express"
"William B Hartsfield-Atlanta Intl","Tampa International"
"William B Hartsfield-Atlanta Intl","Tri-Cities Regional"
"William B Hartsfield-Atlanta Intl","Tulsa International"
"William B Hartsfield-Atlanta Intl","Tupelo Municipal"
"William B Hartsfield-Atlanta Intl","Tucson International"
"William B Hartsfield-Atlanta Intl","McGhee-Tyson"
"William B Hartsfield-Atlanta Intl","Valdosta Regional"
"William B Hartsfield-Atlanta Intl","Eglin Air Force Base"
"William B Hartsfield-Atlanta Intl","Northwest Arkansas Regional"
"Outagamie County Regional","Boise Air Terminal"
"Outagamie County Regional","Charleston AFB/International"
"Outagamie County Regional","Charlotte/Douglas International"
"Outagamie County Regional","Cincinnati Northern Kentucky Intl"
"Outagamie County Regional","Des Moines International"
"Outagamie County Regional","Detroit Metropolitan-Wayne County"
"Outagamie County Regional","General Mitchell International"
"Outagamie County Regional","Dane County Regional"
"Outagamie County Regional","Minneapolis-St Paul Intl"
"Outagamie County Regional","Eppley Airfield"
"Outagamie County Regional","Chicago O'Hare International"
"Outagamie County Regional","Philadelphia Intl"
"Outagamie County Regional","Northwest Arkansas Regional"
"Austin-Bergstrom International","Birmingham International"
"Austin-Bergstrom International","Nashville International"
"Austin-Bergstrom International","Gen Edw L Logan Intl"
"Austin-Bergstrom International","Baltimore-Washington International"
"Austin-Bergstrom International","Cleveland-Hopkins Intl"
"Austin-Bergstrom International","Charlotte/Douglas International"
"Austin-Bergstrom International","Cincinnati Northern Kentucky Intl"
"Austin-Bergstrom International","Dallas Love"
"Austin-Bergstrom International","Denver Intl"
"Austin-Bergstrom International","Dallas-Fort Worth International"
"Austin-Bergstrom International","Des Moines International"
"Austin-Bergstrom International","Detroit Metropolitan-Wayne County"
"Austin-Bergstrom International","El Paso International"
"Austin-Bergstrom International","Newark Intl"
"Austin-Bergstrom International","Fort Lauderdale-Hollywood Int'l"
"Austin-Bergstrom International","William P Hobby"
"Austin-Bergstrom International","Valley International"
"Austin-Bergstrom International","Washington Dulles International"
"Austin-Bergstrom International","George Bush Intercontinental"
"Austin-Bergstrom International","Indianapolis International"
"Austin-Bergstrom International","Jacksonville International"
"Austin-Bergstrom International","John F Kennedy Intl"
"Austin-Bergstrom International","McCarran International"
"Austin-Bergstrom International","Los Angeles International"
"Austin-Bergstrom International","Lubbock International"
"Austin-Bergstrom International","Long Beach (Daugherty)"
"Austin-Bergstrom International","Midland International"
"Austin-Bergstrom International","Kansas City International"
"Austin-Bergstrom International","Orlando International"
"Austin-Bergstrom International","Chicago Midway"
"Austin-Bergstrom International","Memphis International"
"Austin-Bergstrom International","Minneapolis-St Paul Intl"
"Austin-Bergstrom International","New Orleans International"
"Austin-Bergstrom International","Metropolitan Oakland International"
"Austin-Bergstrom International","Will Rogers World"
"Austin-Bergstrom International","Ontario International"
"Austin-Bergstrom International","Chicago O'Hare International"
"Austin-Bergstrom International","Norfolk International"
"Austin-Bergstrom International","Philadelphia Intl"
"Austin-Bergstrom International","Phoenix Sky Harbor International"
"Austin-Bergstrom International","Raleigh-Durham International"
"Austin-Bergstrom International","San Diego International-Lindbergh"
"Austin-Bergstrom International","San Antonio International"
"Austin-Bergstrom International","Seattle-Tacoma Intl"
"Austin-Bergstrom International","San Francisco International"
"Austin-Bergstrom International","San Jose International"
"Austin-Bergstrom International","Salt Lake City Intl"
"Austin-Bergstrom International","John Wayne /Orange Co"
"Austin-Bergstrom International","Lambert-St Louis International"
"Austin-Bergstrom International","Tampa International"
"Austin-Bergstrom International","Tulsa International"
"Austin-Bergstrom International","Tucson International"
"Austin-Bergstrom International","McGhee-Tyson"
"Asheville Regional","Cincinnati Northern Kentucky Intl"
"Asheville Regional","Detroit Metropolitan-Wayne County"
"Asheville Regional","Newark Intl"
"Asheville Regional","George Bush Intercontinental"
"Asheville Regional","Orlando International"
"Asheville Regional","Minneapolis-St Paul Intl"
"Wilkes-Barre/Scranton Intl","Cincinnati Northern Kentucky Intl"
"Wilkes-Barre/Scranton Intl","Detroit Metropolitan-Wayne County"
"Wilkes-Barre/Scranton Intl","Westchester Cty"
"Wilkes-Barre/Scranton Intl","John F Kennedy Intl"
"Wilkes-Barre/Scranton Intl","LaGuardia"
"Wilkes-Barre/Scranton Intl","Harrisburg Intl"
"Wilkes-Barre/Scranton Intl","General Mitchell International"
"Wilkes-Barre/Scranton Intl","Chicago O'Hare International"
"Wilkes-Barre/Scranton Intl","Philadelphia Intl"
"Kalamazoo County","Cincinnati Northern Kentucky Intl"
"Kalamazoo County","Detroit Metropolitan-Wayne County"
"Kalamazoo County","Hector International"
"Kalamazoo County","Minneapolis-St Paul Intl"
"Kalamazoo County","Chicago O'Hare International"
"Kalamazoo County","Northwest Arkansas Regional"
"Bradley International","Nashville International"
"Bradley International","Baltimore-Washington International"
"Bradley International","Cleveland-Hopkins Intl"
"Bradley International","Charlotte/Douglas International"
"Bradley International","Cincinnati Northern Kentucky Intl"
"Bradley International","Ronald Reagan Washington National"
"Bradley International","Denver Intl"
"Bradley International","Dallas-Fort Worth International"
"Bradley International","Detroit Metropolitan-Wayne County"
"Bradley International","Newark Intl"
"Bradley International","Fort Lauderdale-Hollywood Int'l"
"Bradley International","Austin Straubel International"
"Bradley International","Washington Dulles International"
"Bradley International","George Bush Intercontinental"
"Bradley International","Indianapolis International"
"Bradley International","John F Kennedy Intl"
"Bradley International","McCarran International"
"Bradley International","Los Angeles International"
"Bradley International","Orlando International"
"Bradley International","Chicago Midway"
"Bradley International","Memphis International"
"Bradley International","Miami International"
"Bradley International","General Mitchell International"
"Bradley International","Minneapolis-St Paul Intl"
"Bradley International","Chicago O'Hare International"
"Bradley International","Norfolk International"
"Bradley International","Palm Beach International"
"Bradley International","Philadelphia Intl"
"Bradley International","Phoenix Sky Harbor International"
"Bradley International","Theodore F Green State"
"Bradley International","Raleigh-Durham International"
"Bradley International","Southwest Florida International"
"Bradley International","Stewart"
"Bradley International","Tampa International"
"Meadows","Denver Intl"
"Meadows","Fresno Yosemite International"
"Meadows","Inyokern"
"Meadows","McCarran International"
"Meadows","Los Angeles International"
"Meadows","Modesto City-County-Harry Sham"
"Meadows","Phoenix Sky Harbor International"
"Meadows","San Diego International-Lindbergh"
"Meadows","San Francisco International"
"Meadows","San Jose International"
"Meadows","Salt Lake City Intl"
"Meadows","Sacramento International"
"Binghamton Regional","Detroit Metropolitan-Wayne County"
"Bangor International","Gen Edw L Logan Intl"
"Bangor International","Burlington International"
"Bangor International","Cincinnati Northern Kentucky Intl"
"Bangor International","Detroit Metropolitan-Wayne County"
"Bangor International","Newark Intl"
"Bangor International","John F Kennedy Intl"
"Bangor International","Minneapolis-St Paul Intl"
"Birmingham International","Nashville International"
"Birmingham International","Baltimore-Washington International"
"Birmingham International","Cleveland-Hopkins Intl"
"Birmingham International","Charlotte/Douglas International"
"Birmingham International","Cincinnati Northern Kentucky Intl"
"Birmingham International","Dallas Love"
"Birmingham International","Denver Intl"
"Birmingham International","Dallas-Fort Worth International"
"Birmingham International","Detroit Metropolitan-Wayne County"
"Birmingham International","Newark Intl"
"Birmingham International","William P Hobby"
"Birmingham International","Huntsville International"
"Birmingham International","Washington Dulles International"
"Birmingham International","George Bush Intercontinental"
"Birmingham International","Jacksonville International"
"Birmingham International","John F Kennedy Intl"
"Birmingham International","McCarran International"
"Birmingham International","LaGuardia"
"Birmingham International","Orlando International"
"Birmingham International","Chicago Midway"
"Birmingham International","Memphis International"
"Birmingham International","General Mitchell International"
"Birmingham International","New Orleans International"
"Birmingham International","Eppley Airfield"
"Birmingham International","Chicago O'Hare International"
"Birmingham International","Phoenix Sky Harbor International"
"Birmingham International","Raleigh-Durham International"
"Birmingham International","Louisville International-Standiford"
"Birmingham International","Salt Lake City Intl"
"Birmingham International","Lambert-St Louis International"
"Birmingham International","Tampa International"
"Birmingham International","Northwest Arkansas Regional"
"Billings Logan Intl","Denver Intl"
"Billings Logan Intl","Great Falls Intl"
"Billings Logan Intl","Minneapolis-St Paul Intl"
"Billings Logan Intl","Chicago O'Hare International"
"Billings Logan Intl","Pocatello Regional"
"Billings Logan Intl","Salt Lake City Intl"
"Bismarck Municipal","Denver Intl"
"Bismarck Municipal","Minneapolis-St Paul Intl"
"Bismarck Municipal","Rapid City Regional"
"Bemidji-Beltrami County","Minneapolis-St Paul Intl"
"Bellingham Intl","Spokane Intl"
"Bellingham Intl","Salt Lake City Intl"
"Central Illinois Regional","Dallas-Fort Worth International"
"Central Illinois Regional","McCarran International"
"Central Illinois Regional","Orlando International"
"Central Illinois Regional","Will Rogers World"
"Central Illinois Regional","Chicago O'Hare International"
"Nashville International","Gen Edw L Logan Intl"
"Nashville International","Baltimore-Washington International"
"Nashville International","Eastern Iowa"
"Nashville International","Cleveland-Hopkins Intl"
"Nashville International","Charlotte/Douglas International"
"Nashville International","Port Columbus Intl"
"Nashville International","City of Colorado Springs Muni"
"Nashville International","Yeager"
"Nashville International","Cincinnati Northern Kentucky Intl"
"Nashville International","Ronald Reagan Washington National"
"Nashville International","Denver Intl"
"Nashville International","Dallas-Fort Worth International"
"Nashville International","Detroit Metropolitan-Wayne County"
"Nashville International","Newark Intl"
"Nashville International","Fort Lauderdale-Hollywood Int'l"
"Nashville International","Joe Foss"
"Nashville International","William P Hobby"
"Nashville International","Washington Dulles International"
"Nashville International","George Bush Intercontinental"
"Nashville International","Jacksonville International"
"Nashville International","John F Kennedy Intl"
"Nashville International","McCarran International"
"Nashville International","Los Angeles International"
"Nashville International","LaGuardia"
"Nashville International","Kansas City International"
"Nashville International","Orlando International"
"Nashville International","Chicago Midway"
"Nashville International","Memphis International"
"Nashville International","Miami International"
"Nashville International","General Mitchell International"
"Nashville International","Minneapolis-St Paul Intl"
"Nashville International","New Orleans International"
"Nashville International","Metropolitan Oakland International"
"Nashville International","Ontario International"
"Nashville International","Chicago O'Hare International"
"Nashville International","Norfolk International"
"Nashville International","Philadelphia Intl"
"Nashville International","Phoenix Sky Harbor International"
"Nashville International","Theodore F Green State"
"Nashville International","Raleigh-Durham International"
"Nashville International","San Diego International-Lindbergh"
"Nashville International","San Antonio International"
"Nashville International","Seattle-Tacoma Intl"
"Nashville International","Springfield-Branson Regional"
"Nashville International","Salt Lake City Intl"
"Nashville International","Lambert-St Louis International"
"Nashville International","Tampa International"
"Boise Air Terminal","Denver Intl"
"Boise Air Terminal","Spokane Intl"
"Boise Air Terminal","Walker"
"Boise Air Terminal","McCarran International"
"Boise Air Terminal","Los Angeles International"
"Boise Air Terminal","Lewiston-Nez Perce County"
"Boise Air Terminal","Minneapolis-St Paul Intl"
"Boise Air Terminal","Metropolitan Oakland International"
"Boise Air Terminal","Ontario International"
"Boise Air Terminal","Chicago O'Hare International"
"Boise Air Terminal","Norfolk International"
"Boise Air Terminal","Portland Intl"
"Boise Air Terminal","Phoenix Sky Harbor International"
"Boise Air Terminal","Pittsburgh International"
"Boise Air Terminal","Reno/Tahoe International"
"Boise Air Terminal","San Diego International-Lindbergh"
"Boise Air Terminal","Seattle-Tacoma Intl"
"Boise Air Terminal","San Francisco International"
"Boise Air Terminal","Salt Lake City Intl"
"Boise Air Terminal","Joslin Field - Magic Valley"
"Gen Edw L Logan Intl","Burlington International"
"Gen Edw L Logan Intl","Buffalo Niagara Intl"
"Gen Edw L Logan Intl","Baltimore-Washington International"
"Gen Edw L Logan Intl","Akron-Canton Regional"
"Gen Edw L Logan Intl","Charleston AFB/International"
"Gen Edw L Logan Intl","Cleveland-Hopkins Intl"
"Gen Edw L Logan Intl","Charlotte/Douglas International"
"Gen Edw L Logan Intl","Port Columbus Intl"
"Gen Edw L Logan Intl","Cincinnati Northern Kentucky Intl"
"Gen Edw L Logan Intl","Ronald Reagan Washington National"
"Gen Edw L Logan Intl","Denver Intl"
"Gen Edw L Logan Intl","Dallas-Fort Worth International"
"Gen Edw L Logan Intl","Detroit Metropolitan-Wayne County"
"Gen Edw L Logan Intl","Newark Intl"
"Gen Edw L Logan Intl","Fort Lauderdale-Hollywood Int'l"
"Gen Edw L Logan Intl","Gregg County"
"Gen Edw L Logan Intl","Piedmont Triad International"
"Gen Edw L Logan Intl","Washington Dulles International"
"Gen Edw L Logan Intl","George Bush Intercontinental"
"Gen Edw L Logan Intl","Indianapolis International"
"Gen Edw L Logan Intl","Jacksonville International"
"Gen Edw L Logan Intl","John F Kennedy Intl"
"Gen Edw L Logan Intl","McCarran International"
"Gen Edw L Logan Intl","Los Angeles International"
"Gen Edw L Logan Intl","LaGuardia"
"Gen Edw L Logan Intl","Long Beach (Daugherty)"
"Gen Edw L Logan Intl","Orlando International"
"Gen Edw L Logan Intl","Chicago Midway"
"Gen Edw L Logan Intl","Memphis International"
"Gen Edw L Logan Intl","Manchester"
"Gen Edw L Logan Intl","Miami International"
"Gen Edw L Logan Intl","General Mitchell International"
"Gen Edw L Logan Intl","Minneapolis-St Paul Intl"
"Gen Edw L Logan Intl","New Orleans International"
"Gen Edw L Logan Intl","Myrtle Beach International"
"Gen Edw L Logan Intl","Metropolitan Oakland International"
"Gen Edw L Logan Intl","Chicago O'Hare International"
"Gen Edw L Logan Intl","Norfolk International"
"Gen Edw L Logan Intl","Palm Beach International"
"Gen Edw L Logan Intl","Portland Intl"
"Gen Edw L Logan Intl","Newport News/Williamsburg International"
"Gen Edw L Logan Intl","Philadelphia Intl"
"Gen Edw L Logan Intl","Phoenix Sky Harbor International"
"Gen Edw L Logan Intl","Pittsburgh International"
"Gen Edw L Logan Intl","Theodore F Green State"
"Gen Edw L Logan Intl","Portland International Jetport"
"Gen Edw L Logan Intl","Raleigh-Durham International"
"Gen Edw L Logan Intl","Richmond International"
"Gen Edw L Logan Intl","Greater Rochester Int'l"
"Gen Edw L Logan Intl","Southwest Florida International"
"Gen Edw L Logan Intl","San Diego International-Lindbergh"
"Gen Edw L Logan Intl","Savannah International"
"Gen Edw L Logan Intl","Louisville International-Standiford"
"Gen Edw L Logan Intl","Seattle-Tacoma Intl"
"Gen Edw L Logan Intl","San Francisco International"
"Gen Edw L Logan Intl","San Jose International"
"Gen Edw L Logan Intl","Salt Lake City Intl"
"Gen Edw L Logan Intl","Sarasota Bradenton International"
