"from","to","rank_1","rank_2","time"
24,15,2,2,1
24,14,3,3,1
24,13,NA,2,2
24,12,2,2,1
24,11,2,3,1
24,10,2,2,1
24,9,2,2,1
24,8,3,3,1
24,6,NA,2,2
24,5,2,3,1
24,4,2,2,1
24,3,2,2,1
24,2,2,2,1
24,1,2,3,1
23,31,NA,2,2
23,30,NA,2,2
23,29,2,3,1
23,28,1,2,1
23,25,2,2,1
23,24,1,2,1
23,22,1,1,1
23,21,2,1,1
23,20,2,2,1
23,19,2,3,1
23,16,1,1,1
23,15,1,1,1
23,14,2,3,1
23,12,1,1,1
23,10,4,4,1
23,8,NA,2,2
23,4,3,3,1
23,3,4,4,1
23,2,NA,2,2
23,1,2,3,1
22,32,NA,2,2
22,29,4,4,1
22,28,2,2,1
22,25,2,2,1
22,24,4,4,1
22,21,3,3,1
22,20,3,3,1
22,19,3,3,1
22,17,2,2,1
22,16,3,3,1
22,15,NA,2,2
22,14,3,3,1
22,11,2,2,1
22,10,2,2,1
22,9,3,3,1
22,8,2,2,1
22,4,3,3,1
22,3,2,2,1
22,2,2,2,1
22,1,2,2,1
21,32,1,1,1
21,30,1,1,1
21,29,2,2,1
21,28,2,2,1
21,27,1,1,1
21,25,3,3,1
21,24,2,2,1
21,23,2,2,1
21,22,3,3,1
21,20,2,2,1
21,19,2,2,1
21,17,3,3,1
21,16,4,4,1
21,15,3,3,1
21,14,2,2,1
21,12,2,2,1
21,11,3,3,1
21,10,2,2,1
21,9,1,1,1
21,8,3,3,1
21,5,2,2,1
21,4,2,2,1
21,3,2,2,1
21,2,3,3,1
21,1,3,3,1
20,30,1,1,1
20,29,3,3,1
20,28,2,2,1
20,25,3,3,1
20,24,3,3,1
20,23,2,2,1
20,22,4,4,1
20,21,3,3,1
20,19,2,2,1
20,17,2,2,1
20,16,2,2,1
20,15,1,1,1
20,14,3,3,1
20,12,2,2,1
20,11,2,2,1
20,10,3,3,1
20,8,2,2,1
20,5,2,2,1
20,4,2,2,1
20,3,2,2,1
20,2,2,2,1
20,1,2,2,1
19,31,2,2,1
19,30,1,1,1
19,29,2,2,1
19,28,2,2,1
19,26,2,2,1
19,25,2,2,1
19,24,2,2,1
19,23,2,2,1
19,22,3,3,1
19,21,2,2,1
19,20,1,2,1
19,16,1,1,1
19,15,2,2,1
19,14,2,2,1
19,12,2,2,1
19,10,2,2,1
19,8,2,2,1
19,5,1,1,1
19,4,4,4,1
19,3,2,2,1
19,1,2,2,1
18,32,NA,1,2
18,31,4,4,1
18,30,2,2,1
18,29,2,2,1
18,28,1,NA,1
18,27,2,2,1
18,26,2,2,1
18,24,1,NA,1
18,19,1,NA,1
18,15,1,NA,1
18,14,2,2,1
18,13,NA,1,2
18,11,2,2,1
18,8,NA,2,2
18,7,NA,1,2
18,3,2,2,1
18,2,1,2,1
18,1,4,4,1
17,32,NA,2,2
17,31,2,2,1
17,30,NA,2,2
17,29,1,2,1
17,28,1,1,1
17,27,NA,2,2
17,26,NA,1,2
17,24,2,2,1
17,22,3,3,1
17,21,3,3,1
17,20,3,3,1
17,19,1,1,1
17,18,NA,1,2
17,16,2,3,1
17,15,2,2,1
17,14,3,3,1
17,13,NA,1,2
17,12,NA,1,2
17,11,2,3,1
17,10,1,1,1
17,9,2,2,1
17,8,3,3,1
17,5,2,2,1
17,4,NA,1,2
17,3,3,3,1
17,2,2,2,1
17,1,3,3,1
16,32,NA,2,2
16,31,NA,2,2
16,29,2,2,1
16,28,NA,1,2
16,27,NA,1,2
16,26,NA,2,2
16,25,2,2,1
16,24,3,2,1
16,22,3,3,1
16,21,4,4,1
16,20,2,2,1
16,19,1,2,1
16,17,3,2,1
16,15,2,2,1
16,14,3,3,1
16,11,2,2,1
16,10,NA,2,2
16,9,1,1,1
16,8,3,3,1
16,6,NA,2,2
16,5,3,3,1
16,4,1,2,1
16,3,2,2,1
16,2,2,2,1
16,1,2,2,1
15,32,NA,1,2
15,31,2,3,1
15,29,3,3,1
15,27,NA,1,2
15,25,2,2,1
15,24,2,2,1
15,23,2,2,1
15,22,1,2,1
15,21,2,2,1
15,20,1,1,1
15,19,2,2,1
15,17,2,2,1
15,16,2,2,1
15,14,3,3,1
15,12,1,2,1
15,11,2,2,1
15,10,2,2,1
15,9,2,2,1
15,8,2,2,1
15,7,1,NA,1
15,5,1,1,1
15,4,3,3,1
15,3,2,2,1
15,2,2,2,1
15,1,3,3,1
14,32,NA,2,2
14,31,2,3,1
14,30,3,3,1
14,29,4,4,1
14,28,2,3,1
14,27,1,2,1
14,26,2,2,1
14,25,3,3,1
14,24,3,3,1
14,23,3,3,1
14,22,4,4,1
14,21,3,3,1
14,20,3,3,1
14,19,3,3,1
14,18,2,2,1
14,17,3,4,1
14,16,4,4,1
14,15,3,3,1
14,13,1,2,1
14,12,3,3,1
14,11,2,2,1
14,10,1,2,1
14,9,2,NA,1
14,8,3,3,1
14,5,3,3,1
14,4,2,3,1
14,3,4,4,1
14,2,2,2,1
14,1,3,3,1
13,32,3,3,1
13,31,3,3,1
13,30,2,2,1
13,29,2,2,1
13,28,2,2,1
13,27,4,4,1
13,26,2,2,1
13,23,1,1,1
13,22,1,2,1
13,21,1,2,1
13,20,1,1,1
13,19,2,2,1
13,18,NA,2,2
13,16,1,2,1
13,15,1,1,1
13,14,1,1,1
13,11,1,2,1
13,10,1,1,1
13,9,2,2,1
13,8,3,3,1
13,7,3,3,1
13,5,1,1,1
13,4,2,2,1
13,3,1,1,1
13,2,3,3,1
13,1,3,3,1
12,32,NA,2,2
12,31,NA,2,2
12,30,2,1,1
12,29,2,NA,1
12,28,NA,1,2
12,25,2,2,1
12,24,NA,1,2
12,23,NA,1,2
12,22,2,1,1
12,21,2,2,1
12,20,2,3,1
12,19,2,2,1
12,16,1,1,1
12,15,NA,1,2
12,14,2,2,1
12,10,3,3,1
12,8,1,1,1
12,7,NA,1,2
12,4,2,2,1
12,3,1,1,1
12,1,1,2,1
11,32,NA,3,2
11,31,1,3,1
11,29,1,2,1
11,28,1,2,1
11,27,2,2,1
11,25,2,2,1
11,24,2,2,1
11,23,1,1,1
11,22,2,2,1
11,21,2,2,1
11,20,2,2,1
11,19,1,2,1
11,18,NA,2,2
11,17,2,2,1
11,16,2,2,1
11,15,1,2,1
11,14,2,2,1
11,13,NA,2,2
11,10,1,2,1
11,9,1,2,1
11,8,3,4,1
11,6,NA,2,2
11,5,1,2,1
11,4,1,2,1
11,3,2,2,1
11,2,3,2,1
11,1,1,3,1
10,32,NA,1,2
10,31,NA,2,2
10,30,2,2,1
10,29,2,3,1
10,28,2,2,1
10,27,NA,2,2
10,25,2,2,1
10,24,2,2,1
10,23,4,4,1
10,22,2,2,1
10,21,2,2,1
10,20,3,4,1
10,19,2,2,1
10,18,NA,2,2
10,17,2,2,1
10,16,2,2,1
10,15,2,2,1
10,14,1,1,1
10,13,NA,2,2
10,12,3,3,1
10,11,2,2,1
10,9,2,1,1
10,8,2,2,1
10,7,1,1,1
10,5,2,2,1
10,4,3,3,1
10,3,3,2,1
10,2,1,NA,1
10,1,2,3,1
9,32,4,4,1
9,31,NA,2,2
9,29,NA,1,2
9,27,3,3,1
9,22,3,2,1
9,21,1,2,1
9,17,NA,2,2
9,16,NA,1,2
9,14,1,1,1
9,13,2,2,1
9,11,1,2,1
9,8,2,2,1
9,5,2,2,1
9,2,4,4,1
9,1,3,3,1
8,32,NA,4,2
8,31,NA,2,2
8,30,2,2,1
8,29,2,2,1
8,28,NA,1,2
8,27,2,2,1
8,25,2,2,1
8,24,2,2,1
8,23,1,2,1
8,22,1,2,1
8,21,2,2,1
8,20,2,2,1
8,19,1,2,1
8,18,NA,2,2
8,17,2,2,1
8,16,2,2,1
8,15,2,2,1
8,14,2,2,1
8,13,2,2,1
8,12,NA,1,2
8,11,2,4,1
8,10,NA,2,2
8,9,1,1,1
8,7,NA,1,2
8,6,NA,2,2
8,5,2,2,1
8,4,2,2,1
8,3,2,2,1
8,2,2,2,1
8,1,2,3,1
7,28,2,2,1
7,13,3,3,1
7,11,1,1,1
7,9,2,2,1
7,8,2,2,1
7,3,1,1,1
7,2,2,2,1
7,1,3,3,1
6,32,NA,2,2
6,31,2,4,1
6,29,2,3,1
6,28,NA,2,2
6,27,2,2,1
6,26,NA,2,2
6,24,NA,3,2
6,21,1,2,1
6,19,2,2,1
6,16,1,2,1
6,15,NA,2,2
6,14,2,2,1
6,11,NA,2,2
6,10,NA,2,2
6,8,2,3,1
6,2,NA,2,2
6,1,3,4,1
5,32,2,2,1
5,31,2,2,1
5,29,2,2,1
5,28,2,2,1
5,27,1,1,1
5,25,1,1,1
5,24,2,2,1
5,22,2,2,1
5,21,2,2,1
5,20,2,2,1
5,19,1,1,1
5,17,2,2,1
5,16,2,2,1
5,15,1,1,1
5,14,2,2,1
5,12,1,1,1
5,11,2,2,1
5,10,2,2,1
5,9,3,3,1
5,8,2,2,1
5,4,2,2,1
5,1,3,3,1
4,31,2,2,1
4,30,NA,2,2
4,29,2,2,1
4,28,2,2,1
4,27,2,2,1
4,26,NA,2,2
4,25,2,2,1
4,24,2,2,1
4,23,2,2,1
4,22,2,2,1
4,21,2,2,1
4,20,2,2,1
4,19,4,4,1
4,18,NA,2,2
4,16,1,2,1
4,15,2,2,1
4,14,2,2,1
4,13,2,1,1
4,12,2,2,1
4,11,2,2,1
4,10,2,3,1
4,9,2,2,1
4,8,2,2,1
4,6,NA,2,2
4,5,2,2,1
4,3,2,2,1
4,2,NA,2,2
4,1,2,2,1
3,30,1,1,1
3,29,1,1,1
3,28,1,1,1
3,26,2,2,1
3,24,2,2,1
3,23,4,4,1
3,22,2,2,1
3,21,2,2,1
3,20,2,2,1
3,19,1,1,1
3,18,2,2,1
3,17,2,2,1
3,16,2,2,1
3,15,1,1,1
3,14,4,4,1
3,12,4,4,1
3,11,4,4,1
3,10,2,2,1
3,8,2,2,1
3,5,1,1,1
3,4,4,4,1
3,2,1,1,1
3,1,3,3,1
2,32,4,4,1
2,31,4,4,1
2,30,3,3,1
2,29,2,2,1
2,28,1,2,1
2,27,2,2,1
2,26,NA,2,2
2,25,NA,2,2
2,24,2,2,1
2,23,NA,2,2
2,22,2,2,1
2,21,3,2,1
2,20,2,2,1
2,19,1,2,1
2,18,NA,2,2
2,17,2,2,1
2,16,3,2,1
2,15,2,2,1
2,14,2,2,1
2,13,2,2,1
2,11,3,3,1
2,10,1,2,1
2,9,4,4,1
2,8,3,3,1
2,7,3,2,1
2,6,NA,2,2
2,5,1,1,1
2,4,NA,2,2
2,3,2,2,1
2,1,4,4,1
1,32,2,3,1
1,31,4,4,1
1,30,2,2,1
1,29,2,3,1
1,28,2,2,1
1,27,2,2,1
1,26,3,3,1
1,25,2,2,1
1,24,2,2,1
1,23,2,2,1
1,22,2,2,1
1,21,2,2,1
1,20,2,2,1
1,19,2,2,1
1,18,3,3,1
1,17,2,2,1
1,16,2,2,1
1,15,2,2,1
1,14,2,2,1
1,13,2,3,1
1,12,2,2,1
1,11,2,3,1
1,10,2,2,1
1,9,2,3,1
1,8,2,3,1
1,7,2,2,1
1,6,2,2,1
1,5,2,2,1
1,4,2,2,1
1,3,2,2,1
1,2,4,4,1
